Women's RS Pro Short,UCS31F_BA.HF_UL2,CS31F-BAHF-UL2,S310AG10F,Sugoi,CCN,346.5,155,121,101,85,78,75,72,6114300000,337.75,142,115,90,76,71,68,66,6114303070,26.69
Women's RS Pro Short ZAP,UCS31F_X2.HF_U2P,CS31F-X2HF-U2P,S310YG20F,Sugoi,CCN,351.5,160,126,106,90,83,80,77,6114300000,342.75,147,120,95,81,76,73,71,6114303070,28.09
Men's RS Pro Short,UCS31M_BA.HM_UL2,CS31M-BAHM-UL2,S310AH10M,Sugoi,CCN,346.5,155,121,101,85,78,75,72,6114300000,337.75,142,115,90,76,71,68,66,6114303060,27.15
Men's RS Pro Short ZAP,UCS31M_X2.HM_U2P,CS31M-X2HM-U2P,S310YH20M,Sugoi,CCN,351.5,160,126,106,90,83,80,77,6114300000,342.75,147,120,95,81,76,73,71,6114303060,28.55
Women's Evolution Short,UCS32F_BA.RF_EVF,CS32F-BARF-EVF,S320AQ10F,Sugoi,CCN,317.5,108,90,87,77,72,67,60,6114300000,315,100,85,70,60,50,48,46,6114303070,24.82
Women's Evolution Short ZAP,UCS32F_X2.RF_EPP,CS32F-X2RF-EPP,S320YQ20F,Sugoi,CCN,322.5,113,95,92,82,77,72,65,6114300000,320,105,90,75,65,55,53,51,6114303070,26.2
Men's Evolution Short,UCS32M_BA.RM_EVF,CS32M-BARM-EVF,S320AR10M,Sugoi,CCN,317.5,108,90,87,77,72,67,60,6114300000,315,100,85,70,60,50,48,46,6114303060,25.75
Men's Evolution Short ZAP,UCS32M_X2.RM_EPP,CS32M-X2RM-EPP,S320YR20M,Sugoi,CCN,322.5,113,95,92,82,77,72,65,6114300000,320,105,90,75,65,55,53,51,6114303060,27.13
Junior Evolution Short,UCS42J_BA.CJ_EVF,CS42J-BACJ-EVF,S420AJ10J,Sugoi,CCN,310.25,97,76,75,70,65,60,55,6114300000,305,90,75,65,55,50,45,43,6114303060,24.23
Junior Evolution Short ZAP,UCS42J_X2.CJ_EPP,CS42J-X2CJ-EPP,S420YJ20J,Sugoi,CCN,315.25,102,81,80,75,70,65,60,6114300000,310,95,80,70,60,55,50,48,6114303060,25.73
Women's RS Pro Bib Short,UCS61F_PS.BA.HF_UL2,CS61F-PSBAHF-UL2,S610AG10F,Sugoi,CCN,363,181,142,130,120,110,100,95,6114300000,352.75,165,135,105,89,83,80,77,6114303070,31.34
Women's RS Pro Bib Short ZAP,UCS61F_PS.X2.HF_U2P,CS61F-PSX2HF-U2P,S610YG20F,Sugoi,CCN,368,186,147,135,125,115,105,100,6114300000,357.75,170,140,110,94,88,85,82,6114303070,32.65
Men's RS Pro Bib Short,UCS61M_PS.BA.HM_UL2,CS61M-PSBAHM-UL2,S610AH10M,Sugoi,CCN,363,181,142,130,120,110,100,95,6114300000,352.75,165,135,105,89,83,80,77,6114303060,31.8
Men's RS Pro Bib Short ZAP,UCS61M_PS.X2.HM_U2P,CS61M-PSX2HM-U2P,S610YH20M,Sugoi,CCN,368,186,147,135,125,115,105,100,6114300000,357.75,170,140,110,94,88,85,82,6114303060,33.2
Women's Evolution Bib Short,UCS62F_BA.RF_EVF,CS62F-BARF-EVF,S620AQ10F,Sugoi,CCN,333.25,134,104,99,90,85,80,75,6114300000,325.75,125,100,85,75,65,60,57,6114303070,29.47
Women's Evolution Bib Short ZAP,UCS62F_X2.RF_EPP,CS62F-X2RF-EPP,S620YQ20F,Sugoi,CCN,338.25,139,109,104,95,90,85,80,6114300000,330.75,130,105,90,80,70,65,62,6114303070,30.87
Men's Evolution Bib Short,UCS62M_BA.RM_EVF,CS62M-BARM-EVF,S620AR10M,Sugoi,CCN,333.25,134,104,99,90,85,80,75,6114300000,325.75,125,100,85,75,65,60,57,6114303060,30.4
Men's Evolution Bib Short ZAP,UCS62M_X2.RM_EPP,CS62M-X2RM-EPP,S620YR20M,Sugoi,CCN,338.25,139,109,104,95,90,85,80,6114300000,330.75,130,105,90,80,70,65,62,6114303060,31.79
Women's Elite Bib Short,UCS68F_BA.HF_M10,CS68F-BAHF-M10,S680AD12F,Sugoi,PNR, null ,240,188,185,175,165,150,145,6114300000,399,218,171,150,140,130,120,110,6114303070,
Men's Elite Bib Short,UCS68M_BA.XM_M10,CS68M-BAXM-M10,S680AE12M,Sugoi,PNR, null ,240,188,185,175,165,150,145,6114300000,399,218,171,150,140,130,120,110,6114303060,
Women's 3in Turbo Short,UCS73F_03.BF_KAZ,CS73F-03BF-KAZ,S733B010F,Sugoi,CCN,298.25,78,61,49,47,45,43,41,6204630020,293.75,70,55,45,40,35,34,33,6204639032,17.97
Men's 5in Turbo Short,UCS73M_05.BF_KAZ,CS73M-05BF-KAZ,S735B010M,Sugoi,CCN,298.25,78,61,50,48,46,44,42,6204630020,293.75,70,55,45,40,35,34,33,6203439030,18.18
Men's 7in Turbo Short,UCS73M_07.ST_KAZ,CS73M-07ST-KAZ,S737H010M,Sugoi,CCN,302.5,84,66,53,51,49,47,45,6204630020,297.75,77,60,50,45,39,37,36,6203439030,18.4
Women's RS Tri Short,UCS82F_3F_UL2,CS82F-3F-UL2,S8200S10F,Sugoi,CCN,314,103,90,72,70,65,62,55,6104630026,308.25,94,73,59,51,47,46,44,6104632030,23.85
Men's RS Tri Short,UCS82M_3M_UL2,CS82M-3M-UL2,S8200T10M,Sugoi,CCN,314,103,90,72,70,65,62,55,6103430015,308.25,94,73,59,51,47,46,44,6103431550,24.27
RS Thermal Vest,UCV08U_BA_F32,CV08U-BA-F32,V080A010U,Sugoi,CCN,346.5,155,121,102,89,78,75,72,6113009000,337.75,141,110,88,76,71,68,66,6110303030,27.29
Women's RS Pro Vest,UCV09F_BA_M16,CV09F-BA-M16,V09F00A10,Sugoi,CCN,325,145,95,90,80,70,60,55,6211339090,320,130,100,80,70,60,55,50,6211431076,19
Men's RS Pro Vest,UCV09M_BA_M16,CV09M-BA-M16,V09M00A10,Sugoi,CCN,325,145,95,90,80,70,60,55,6211339090,320,130,100,80,70,60,55,50,6211339054,20.05
Evolution Windblock Vest,UCV15U_BA_F10,CV15U-BA-F10,V150A010U,Sugoi,CCN,326.25,122,96,79,69,62,59,57,6201930035,319.25,111,87,70,60,56,54,52,6211335054,19.29
Finostretch Arm Warmer,UCW01U_FNO,CW01U-FNO,W0100020U,Sugoi,CCN,277.5,45,36,30,26,24,23,23,6117809000,200,37,30,25,21,19,18,17,6117809540,6.9
Midzero Arm Warmer,UCW01U_MID,CW01U-MID,W0100010U,Sugoi,CCN,281.75,52,41,34,32,27,26,26,6117809000,250,43,35,28,24,22,21,20,6117809540,9.09
Leg Warmer,UCW02U_MID,CW02U-MID,W0200010U,Sugoi,CCN,289.5,79,62,51,47,40,39,39,6117809000,292.75,68.5,53.5,42.75,37,34.5,33.25,32,6117809540,15.73
Knee Warmer,UCW03U_MID,CW03U-MID,W0300010U,Sugoi,CCN,286,60,50,47,45,40,37,35,6117809000,282.75,52.5,42.5,40,36.5,32.5,31.5,30,6117809540,14.45
